"ID","Type","Name","Documentation","Source","Target","Specialization"
"1d082a81-211b-41fb-9b7c-3c1dfb7d90fa","AccessRelationship","","","1f4dc672-97ff-4f00-8b2b-20e42d40daa5","29b9ee3f-985f-405e-a64d-a4e7db3b7bc3",""
"1d47d4d4-be43-4ba3-b74a-5ef3be3547e9","AccessRelationship","","","9c83d5ef-01d7-4808-ad06-e4493fbf9cf6","cca11f71-f9e3-45f0-8352-7656cd0a581c",""
"1d6e30e0-f454-4258-b24e-dbc6b461d13c","AccessRelationship","","","13e19b84-beca-474c-8ab9-9d006c72bffb","cbaae451-a92e-4a0f-8983-dc3972b0977d",""
"1e13ce04-9771-4ae0-b60f-960f81070648","AccessRelationship","","","992bbd31-9b6a-4185-96a4-2f9aba857ac1","6b8f4302-4d0c-4198-984c-3fceea6b29ca",""
"1e61c23c-0a8e-4450-b783-41b90d578d59","AccessRelationship","","","def60c92-d482-4f16-97a9-405f63db813a","825bcd68-a087-45bb-bda0-493fc8b92c88",""
"1fe6b2ba-bab7-44ef-a470-4d23d40b3245","AccessRelationship","","","491183c1-dd93-428b-a1aa-e8ba4bd51c57","a86aa7d9-f171-4c06-b536-a497058f4ce5",""
"202f4cb0-d7f2-4650-924c-1da3b31d6caf","AccessRelationship","","","b8ac0880-99a6-478a-bf9d-ea454b055bd1","2613c1e5-dd0f-43bc-8dfe-b8e595e54ba8",""
"206e0c0c-20f6-44f0-b28e-9317c29fc749","AccessRelationship","","","7747cee8-f983-4c1f-a0ee-fd35ab346e5d","c0e1d3e2-e427-4617-bfb8-7960e6d676dd",""
"220646f8-186e-4b04-8dae-1009361a670e","AccessRelationship","","","9c015bfb-b80c-40de-b40d-80abe47553b6","236b6c55-2f18-41a3-90b8-47d2081986dd",""
"2212ebc2-cceb-4a84-a960-a8617d33f130","AccessRelationship","","","83d72c0b-f74b-4619-9684-cf9cd7aad05d","30db0cdb-b722-4043-8ad0-49ceb40dc50c",""
"2269d89b-bc6f-460e-b1b5-1526f38acf01","AccessRelationship","","","ff04e457-13dc-40af-aad1-e4d200062beb","a280619f-6ca3-444a-a328-b00ec0d68fba",""
"237d7ea7-f1bc-44d1-aee8-f333f81cefff","AccessRelationship","","","9261e84f-49e1-46f8-86ee-ed7fdb1ca83a","54ecd60c-1e2b-4da5-8805-0317adac7580",""
"23aea094-c480-4ee3-b7b9-7d59fc184f00","AccessRelationship","","","af9e0d82-de0d-4bfd-93e7-1a3253e43e8c","709c58a0-6f19-48aa-9172-f75d64a22067",""
"24df20a5-1407-45e9-9964-892a288209c3","AccessRelationship","","","491183c1-dd93-428b-a1aa-e8ba4bd51c57","6fb56e3e-f6da-4bbb-99e1-4faa6a94d14d",""
"257bd24e-bd1d-41c1-bf95-c0d29eccf46b","AccessRelationship","","","af9e0d82-de0d-4bfd-93e7-1a3253e43e8c","ffbf9e81-7d99-4cb7-9bb7-a0f3f016d5ef",""
